t,x,y,z,r
58777,6800000,0,0,6800000
58777.0005787037,6789212.03846515,0.047674699492258,382606.870688653,6799984.42062467
58777.0011574074,6756882.74322098,0.191305603109102,763996.194171229,6799937.83724129
58777.0017361111,6703115.72483326,0.431335196207176,1142954.53164369,6799860.69577252
58777.0023148148,6628083.24646991,0.767572477816438,1518276.40700199,6799753.72864301
58777.0028935185,6532025.62263718,1.19918360953083,1888768.24456251,6799617.94635976
58777.0034722222,6415250.38270266,1.72468583770245,2253252.2577572,6799454.62591357
58777.0040509259,6278131.20407977,2.34194475533624,2610570.27326453,6799265.29614032
58777.0046296296,6121106.62119744,3.04817495357731,2959587.47566529,6799051.7202174
58777.0052083333,5944678.5175299,3.83994409611695,3299196.0584705,6798815.87550534
58777.005787037,5749410.40899848,4.71318043336902,3628318.76823915,6798559.93097646
58777.0063657407,5535925.52796585,5.66318375696572,3945912.32946837,6798286.22250244
58777.0069444444,5304904.71781339,6.68463977911348,4250970.73897683,6797997.22629839
58777.0075231481,5057084.14871749,7.77163790568046,4542528.41959091,6797695.53084434
58777.0081018519,4793252.86571682,8.91769235663263,4819663.2240609,6797383.80762387
58777.0086805556,4514250.18049103,10.115766572644,5081499.28125732,6797064.78103485
58777.0092592593,4220962.91845568,11.3583008323709,5327209.67780333,6796741.197838
58777.009837963,3914322.53282673,12.637242991009,5556018.96936715,6796415.79651527
58777.0104166667,3595302.09723076,13.9440822373389,5767205.51684884,6796091.2769119
58777.0109953704,3264913.18824962,15.2698857534726,5960103.64363087,6795770.2705331
58777.0115740741,2924202.66900598,16.6053381488969,6134105.61090791,6795455.31185875
58777.0121527778,2574249.38453818,17.9407835281212,6288663.40885625,6795148.81102722
58777.0127314815,2216160.77930014,19.2662700392359,6423290.36203938,6794853.02822271
58777.0133101852,1851069.44667454,20.5715967389077,6537562.54796863,6794570.05007949
58777.0138888889,1480129.61992777,21.8463625977574,6631120.02814722,6794301.76839092
58777.0144675926,1104513.61358422,23.0800174586214,6703667.89122365,6794049.86138227
58777.0150462963,725408.223774822,24.2619147488908,6754977.10807504,6793815.77777368
58777.015625,344011.095739946,25.3813657369536,6784885.19874159,6793600.72382379
58777.0162037037,-38472.9336445483,26.4276951117282,6793296.71115387,6793405.65350662
58777.0167824074,-420835.510683261,27.3902976534425,6780183.51155096,6793231.26193344
58777.0173611111,-801868.449530324,28.2586957532273,6745584.88639826,6793077.98208996
58777.0179398148,-1180367.41927383,29.0225975288573,6689607.45549807,6792945.98491559
58777.0185185185,-1555135.6259507,29.6719552742005,6612424.89586576,6792835.18270882
58777.0190972222,-1924987.48186237,30.1970239707653,6514277.47583964,6792745.23579903
58777.0196759259,-2288752.25432334,30.5884195813289,6395471.39882519,6792675.56238312
58777.0202546296,-2645277.68565185,30.8371768381605,6256377.95606268,6792625.35138407
58777.0208333333,-2993433.57581462,30.9348062320044,6097432.48787134,6792593.57814967
58777.021412037,-3332115.31868265,30.8733499029796,5919133.15297626,6792579.02277297
58777.0219907407,-3660247.38235812,30.6454361310422,5722039.50578192,6792580.29078255
58777.0225694444,-3976786.72351444,30.2443321218764,5506770.8818261,6792595.8359204
58777.0231481481,-4280726.12517326,29.6639947841807,5274004.59213739,6792623.98469893
58777.0237268519,-4571097.44684643,28.8991191964792,5024473.92783034,6792662.96240642
58777.0243055556,-4846974.77551937,27.9451844659457,4758965.97700298,6792710.92021249
58777.0248842593,-5107477.46556883,26.7984966883747,4478319.25684644,6792765.96301192
